#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
151,Curaçao,"44,932",,282 ,,"44,434",,216,3,"271,555","1,704","496,693","3,001,855","165,462 ",North America,45870,,,"1,305"
152,Papua New Guinea,"44,761",,662 ,,"43,982",,117,7,"4,817",71,"249,149","26,811","9,292,750 ",Australia/Oceania,"20814,03737",,,13
153,Andorra,"44,671",,153 ,,"43,802",,716,14,"576,274","1,974","249,838","3,223,009","77,517 ",Europe,25070,,,"9,237"
154,Burundi,"43,222",,38 ,,N/A,N/A,N/A,,"3,427",3,"345,742","27,411","12,613,166 ",Africa,"292331,92536",,,"3,362"
155,Aruba,"41,787",,224 ,,"41,315",,248,1,"388,027","2,080","177,885","1,651,809","107,691 ",North America,34811,,,"2,303"
156,Mauritius,"39,012",,"1,008 ",,"37,157",,847,,"30,572",790,"358,675","281,077","1,276,072 ",Africa,"331,2664",,,664
157,Mayotte,"37,958",,187 ,,N/A,N/A,N/A,,"132,608",653,"176,919","618,075","286,242 ",Africa,"81,5312",,,"121,600"
158,Togo,"37,821",,275 ,,"37,298",,248,,"4,360",32,"762,628","87,916","8,674,517 ",Africa,"22931,54411",,,29
159,Tanzania,"37,510",,841 ,,N/A,N/A,N/A,7,593,13,,,"63,204,830 ",Africa,"1,68575,154",,,577
160,Guinea,"37,358",,443 ,,"36,419",,496,8,"2,695",32,"660,107","47,629","13,859,424 ",Africa,"37131,28521",,,36
161,Isle of Man,"37,239",,110 ,,"26,794",,"10,335",,"433,258","1,280","150,753","1,753,941","85,951 ",Europe,27811,,,"120,243"
162,Bahamas,"36,435",,822 ,,"34,913",,700,,"90,881","2,050","241,422","602,187","400,909 ",North America,114882,,,"1,746"
163,Faeroe Islands,"34,658",,28 ,,N/A,N/A,N/A,5,"703,830",569,"778,000","15,799,521","49,242 ",Europe,"11,7590",,,"547,033"
164,Lesotho,"34,040",,702 ,,"24,155",,"9,183",,"15,637",322,"431,221","198,090","2,176,890 ",Africa,"643,1015",,,"4,218"
165,Haiti,"32,103",,837 ,,"29,895",,"1,371",,"2,747",72,"132,422","11,332","11,686,083 ",North America,"36413,96288",,,117
166,Mali,"31,203",,737 ,,"30,369",,97,,"1,455",34,"710,828","33,153","21,440,624 ",Africa,"68729,09230",,,5
167,Cayman Islands,"27,966",,29 ,,"8,553",,"19,384",1,"415,567",431,"222,773","3,310,345","67,296 ",North America,"22,3210",,,"288,041"
168,Saint Lucia,"27,464",,385 ,,"26,913",,166,,"148,183","2,077","209,716","1,131,527","185,339 ",North America,74811,,,896
169,Benin,"27,216",,163 ,,"25,506",,"1,547",5,"2,131",13,"604,310","47,319","12,770,925 ",Africa,"46978,34921",,,121
